GEOID20,assignment
25017000105,13
25017000106,13
25017001876,13
25017000859,13
25017000861,13
25017001490,13
25021002029,14
25021000917,14
25021001566,14
25021001564,14
25021001571,14
25021001563,14
25021001569,14
25021000442,14
25021000453,14
25021000916,14
25021000452,14
25021001567,14
25021001568,14
25021000451,14
25017001156,15
25017001157,15
25017001158,15
25017001154,15
25017001146,15
25017001159,15
25017000796,15
25017001826,15
25017000793,15
25017001819,15
25017000953,15
25017000783,15
25017001147,15
25025000704,16
25025000602,16
25025000605,16
25025000702,16
25025000701,16
25025000705,16
25025000603,16
25025000706,16
25025000604,16
25025000601,16
25025000606,16
25025000803,16
25025000703,16
25025000802,16
25025000607,16
25005001576,17
25005001851,17
25005001852,17
25023000969,17
25005001849,17
25005000809,17
25005001859,17
25005001854,17
25005000810,17
25005001848,17
25005000145,17
25005001574,17
25005001850,17
25023000874,18
25023000914,18
25023002044,18
25023000002,18
25023000875,18
25023001438,18
25023001613,18
25023001611,18
25023001612,18
25023001608,18
25023001609,18
25023001610,18
25021002027,18
25025000111,19
25025000105,19
25025000104,19
25025000578,19
25025000579,19
25025000108,19
25025000114,19
25025000109,19
25025000107,19
25025000112,19
25025000584,19
25025000576,19
25025000110,19
25025000113,19
25025000106,19
25013000604,20
25013000596,20
25013000603,20
25013000602,20
25013000612,20
25015000844,20
25013000605,20
25013000610,20
25013000595,20
25015001720,20
25013000611,20
25013000609,20
25013000606,20
25013000607,20
25025001816,21
25025001714,21
25021001255,21
25025001801,21
25025001804,21
25025001821,21
25021001256,21
25021001264,21
25021000554,21
25021001546,21
25021001257,21
25021001260,21
25025001805,21
25021000555,21
25017001032,22
25017001824,22
25017001825,22
25017000624,22
25017000625,22
25017001827,22
25017001828,22
25017001031,22
25017000124,22
25017000123,22
25017002009,22
25017001029,22
25017001809,23
25017001206,23
25017001202,23
25017001207,23
25017001211,23
25017001213,23
25017001125,23
25017001124,23
25017001209,23
25017001123,23
25017001201,23
25017001121,23
25017001205,23
25017001210,23
25017001122,23
25017001204,23
25025000589,24
25025001599,24
25009001652,24
25017001208,24
25025016040,24
25017001212,24
25025001594,24
25009001653,24
25025016030,24
25009001657,24
25009001651,24
25025016050,24
25017000715,24
25009001655,24
25023000462,25
25023001969,25
25023000458,25
25023000463,25
25023000483,25
25023000477,25
25023000479,25
25023000480,25
25023000478,25
25023000473,25
25023000686,25
25017001376,26
25025002019,26
25025002020,26
25021000649,26
25025002013,26
25025002017,26
25017001377,26
25021001297,26
25021001298,26
25021001299,26
25021000501,26
25025002005,26
25017001378,26
25021000500,26
25017001379,26
25017000539,27
25017000537,27
25017000533,27
25017000535,27
25017000534,27
25017000536,27
25017000547,27
25025002201,27
25017000546,27
25017000521,27
25017000540,27
25017000538,27
